Tag	Raum	Vortragstyp	Sprache_Titel	Sprache_Folien	Sprache_Vortrag	Sprache_Moderation
1	A	WS	FR	FR	FR	FR_DE
1	A	WS	DE	DE	DE	FR_DE
1	A	WS	DE	DE	FR_DE	FR_DE
1	B1B2	WS	EN	EN	EN	DE
1	B1B2	WS	EN	EN	EN	DE
1	B1B2	WS	FR	FR	FR	DE
1	B1B2	WS	EN	EN	EN	DE
1	B3	WS	EN	EN	EN	EN
1	A	GR	NA	NA	DE	FR
1	A	GR	NA	NA	IT	DE
1	A	KN	EN	EN	DE	DE
1	A	AT	EN	EN	FR_DE	FR
1	A	AT	EN	EN	EN	DE
1	A	AT	FR	DE	FR	FR
1	A	AT	FR	FR	FR	FR
1	A	KN	EN	EN	EN_IT	FR
1	A	AT	DE	DE	DE	FR
1	A	AT	DE	DE	DE	FR
1	A	AT	DE	DE	DE	FR
1	B1B2	AT	EN	EN	FR	EN
1	B1B2	AT	FR	FR	FR	EN
1	B1B2	AT	DE_FR	EN	DE_FR	EN
1	B1B2	AT	EN	DE	DE	EN
1	B1B2	AT	DE	DE	DE	DE
1	B1B2	AT	DE	DE	DE	DE
1	B1B2	AT	DE	DE	DE	DE
1	B1B2	AT	EN	EN	EN	DE
1	B3	AT	EN	EN	EN	EN
1	B3	AT	EN	EN	EN	EN
1	B3	AT	DE	DE	DE	DE
1	B3	AT	DE	DE	DE	DE
1	B3	AT	DE	DE_FR	DE_FR	DE
1	B3	AT	DE	DE_FR	DE	DE
1	B3	AT	FR	DE	FR	DE
2	A	AT	DE	DE	DE	DE
2	A	AT	FR	FR	FR	FR
2	A	AT	EN	EN	EN	FR
2	A	KN	DE_FR	NA	DE_FR	DE
2	A	AT	DE	DE	DE	FR
2	A	AT	EN	EN	EN	FR
2	A	AT	EN	EN	EN	FR
2	A	AT	EN	EN	EN	FR
2	A	KN	EN	EN	EN	FR
2	A	LT	EN	EN	EN	EN
2	A	LT	EN	EN	EN	EN
2	A	LT	IT	IT	IT	EN
2	A	LT	EN	EN	EN	EN
2	A	LT	FR	FR	FR	FR
2	A	LT	DE	DE	DE	FR
2	B1B2	AT	DE_FR	DE_FR	DE_FR	FR
2	B1B2	AT	FR	FR	FR	DE
2	B1B2	AT	EN	IT	EN	DE
2	B1B2	AT	EN	EN	EN	DE
2	B1B2	AT	DE	DE	DE	FR
2	B1B2	AT	DE	DE	DE	FR
2	B1B2	AT	DE	DE	DE	FR
2	B1B2	AT	DE	DE	DE	FR
2	B3	AT	FR	FR	FR	FR
2	B3	AT	FR	FR	FR	FR
2	B3	AT	FR	FR	FR	FR
2	B3	AT	DE	DE	DE	FR
2	B3	AT	EN	DE	DE	DE
2	B3	AT	EN	EN	EN	DE
2	B3	AT	EN	EN	EN	DE
2	B3	AT	EN	EN	EN	DE
3	A	AT	FR	FR	FR	IT
3	A	AT	IT	IT	IT	IT
3	A	AT	FR	FR	FR	IT
3	A	KN	DE	NA	DE	FR
3	B1B2	AT	DE	DE	DE	FR
3	B1B2	AT	EN	EN	EN	FR
3	B1B2	AT	EN	EN	EN	FR
3	B3	AT	DE	DE	DE	DE
3	B3	AT	DE	DE	DE	DE
3	B3	AT	DE	DE	DE	DE
